dataset	model	rank	seed	max_doc_len	pooling	R@10_best	MRR@10_best	jsonl	checkpoint	checkpoint_MB
fiqa	mha	16	1	512	mean	0.2238	0.0962	paper_results/retrieval_main/logs/20260531-161600_bertstyle_retr_fiqa_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-161600_bertstyle_retr_fiqa_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	54.72
fiqa	lsso	16	1	512	mean	0.2392	0.1128	paper_results/retrieval_main/logs/20260531-173806_bertstyle_retr_fiqa_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-173806_bertstyle_retr_fiqa_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	51.69
fiqa	lsso	32	1	512	mean	0.2485	0.1161	paper_results/retrieval_main/logs/20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-175727_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	52.69
nfcorpus	mha	16	1	512	mean	0.5418	0.3698	paper_results/retrieval_main/logs/20260531-181914_bertstyle_retr_nfcorpus_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-181914_bertstyle_retr_nfcorpus_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	54.72
nfcorpus	lsso	16	1	512	mean	0.5666	0.4102	paper_results/retrieval_main/logs/20260531-204837_bertstyle_retr_nfcorpus_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-204837_bertstyle_retr_nfcorpus_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	51.69
nfcorpus	lsso	32	1	512	mean	0.5820	0.4004	paper_results/retrieval_main/logs/20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-211546_bertstyle_retr_nfcorpus_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	52.69
scifact	mha	16	1	512	mean	0.7000	0.6101	paper_results/retrieval_main/logs/20260531-214620_bertstyle_retr_scifact_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-214620_bertstyle_retr_scifact_mha_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	54.72
scifact	lsso	16	1	512	mean	0.6900	0.5833	paper_results/retrieval_main/logs/20260531-214926_bertstyle_retr_scifact_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-214926_bertstyle_retr_scifact_lsso_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	51.69
scifact	lsso	32	1	512	mean	0.7200	0.6121	paper_results/retrieval_main/logs/20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-215230_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	52.69
fiqa	nystrom	16	1	512	mean	0.2423	0.1078	paper_results/retrieval_main/logs/20260531-191936_bertstyle_retr_fiqa_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_main/checkpoints/20260531-191936_bertstyle_retr_fiqa_nystrom_r16_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	54.75
