dataset	variant	seed	rank	R@10	MRR@10	gamma_over_mu	correction_ratio	jsonl	checkpoint	checkpoint_MB
fiqa	no-global r32	1	32	0.2006	0.0890	0.0000	0.0000	paper_results/retrieval_ablation/logs/20260602-152700_bertstyle_retr_fiqa_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-152700_bertstyle_retr_fiqa_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	52.6867
fiqa	fixed mu/gamma r32	1	32	0.2515	0.1168	0.0078	0.2124	paper_results/retrieval_ablation/logs/20260602-154554_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_fixedscale.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-154554_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_fixedscale.pt	52.6868
fiqa	no U RMS norm r32	1	32	0.2145	0.1008	0.0085	0.2070	paper_results/retrieval_ablation/logs/20260602-160743_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_nou.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-160743_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_nou.pt	52.6860
fiqa	full r8	1	8	0.1883	0.0765	0.0100	0.1083	paper_results/retrieval_ablation/logs/20260602-162838_bertstyle_retr_fiqa_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-162838_bertstyle_retr_fiqa_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	51.1855
fiqa	full r4	1	4	0.2068	0.0964	0.0110	0.0742	paper_results/retrieval_ablation/logs/20260602-164713_bertstyle_retr_fiqa_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-164713_bertstyle_retr_fiqa_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	50.9355
scifact	no-global r32	1	32	0.6900	0.5873	0.0000	0.0000	paper_results/retrieval_ablation/logs/20260602-170538_bertstyle_retr_scifact_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-170538_bertstyle_retr_scifact_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	52.6870
scifact	fixed mu/gamma r32	1	32	0.7200	0.6098	0.0078	0.2626	paper_results/retrieval_ablation/logs/20260602-170836_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_fixedscale.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-170836_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_fixedscale.pt	52.6871
scifact	no U RMS norm r32	1	32	0.7067	0.6102	0.0078	0.0458	paper_results/retrieval_ablation/logs/20260602-171147_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_nou.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-171147_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s1_nou.pt	52.6864
scifact	full r8	1	8	0.7167	0.6152	0.0078	0.1142	paper_results/retrieval_ablation/logs/20260602-171454_bertstyle_retr_scifact_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-171454_bertstyle_retr_scifact_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	51.1858
scifact	full r4	1	4	0.7000	0.6107	0.0078	0.0772	paper_results/retrieval_ablation/logs/20260602-171752_bertstyle_retr_scifact_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-171752_bertstyle_retr_scifact_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s1.pt	50.9358
fiqa	no-global r32	2	32	0.1944	0.0916	0.0000	0.0000	paper_results/retrieval_ablation/logs/20260602-190102_bertstyle_retr_fiqa_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-190102_bertstyle_retr_fiqa_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	52.6867
fiqa	fixed mu/gamma r32	2	32	0.2284	0.1114	0.0078	0.2146	paper_results/retrieval_ablation/logs/20260602-192053_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_fixedscale.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-192053_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_fixedscale.pt	52.6868
fiqa	no U RMS norm r32	2	32	0.2068	0.0999	0.0084	0.2072	paper_results/retrieval_ablation/logs/20260602-194357_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_nou.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-194357_bertstyle_retr_fiqa_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_nou.pt	52.6860
fiqa	full r8	2	8	0.2299	0.1026	0.0100	0.1061	paper_results/retrieval_ablation/logs/20260602-200559_bertstyle_retr_fiqa_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-200559_bertstyle_retr_fiqa_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	51.1855
fiqa	full r4	2	4	0.1991	0.0953	0.0109	0.0730	paper_results/retrieval_ablation/logs/20260602-202606_bertstyle_retr_fiqa_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-202606_bertstyle_retr_fiqa_lsso_r4_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	50.9355
scifact	no-global r32	2	32	0.6733	0.5800	0.0000	0.0000	paper_results/retrieval_ablation/logs/20260602-204556_bertstyle_retr_scifact_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-204556_bertstyle_retr_scifact_lsso-no-global_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	52.6870
scifact	fixed mu/gamma r32	2	32	0.7000	0.6017	0.0078	0.2665	paper_results/retrieval_ablation/logs/20260602-204903_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_fixedscale.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-204903_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_fixedscale.pt	52.6871
scifact	no U RMS norm r32	2	32	0.6800	0.5808	0.0078	0.0465	paper_results/retrieval_ablation/logs/20260602-205225_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_nou.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-205225_bertstyle_retr_scifact_lsso_r32_g0.3_tgi-4.0_d256_L8_h8_lend512_s2_nou.pt	52.6864
scifact	full r8	2	8	0.7167	0.6159	0.0078	0.1155	paper_results/retrieval_ablation/logs/20260602-205541_bertstyle_retr_scifact_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.jsonl	paper_results/retrieval_ablation/checkpoints/20260602-205541_bertstyle_retr_scifact_lsso_r8_g0.3_tgi-4.0_d256_L8_h8_lend512_s2.pt	51.1858
